City,County,State,0,0
Ajo,Pima,AZ,"42,169,490",
Arizona City,Pinal,AZ,"7,640,162",
Arizona City,Pinal,AZ,"7,640,162",
Buckeye,Maricopa,AZ,"229,821,077",
Buckeye,Maricopa,AZ,"229,821,077",
Buckeye,Maricopa,AZ,"229,821,077",
Cave Creek,Maricopa,AZ,"229,821,077",
Florence,Pinal,AZ,"7,640,162",
Fountain Hills,Maricopa,AZ,"229,821,077",
Gilbert,Maricopa,AZ,"229,821,077",
Munds Park,Coconino,AZ,"6,764,676",
Page,Coconino,AZ,"6,764,676",
Phoenix,Maricopa,AZ,"229,821,077",
Prescott,Yavapai,AZ,"6,592,236",
Prescott,Yavapai,AZ,"6,592,236",
Prescott Valley,Yavapai,AZ,"6,592,236",
Scottsdale,Maricopa,AZ,"229,821,077",
Tucson,Pima,AZ,"42,169,490",
Alameda,Alameda,CA,"129,708,807",
Angels Camp,Calaveras,CA,"1,589,059",
Beale Afb,Yuba,CA,"3,345,409",
Bodega Bay,Sonoma,CA,"29,064,200",
Burbank,Los Angeles,CA,"726,943,301",
California City,Kern ,CA,"5,974,402",
California City,Kern ,CA,"5,974,402",
California City,Kern ,CA,"5,974,402",
California City,Kern ,CA,"5,974,402",
California City,Kern ,CA,"5,974,402",
California City,Kern ,CA,"5,974,402",
Camp Pendleton,San Diego ,CA,"222,272,562",
Carlsbad,San Diego ,CA,"222,272,562",
Carlsbad,San Diego ,CA,"222,272,562",
Carlsbad,San Diego ,CA,"222,272,562",
Carmel,Monterey,CA,"27,581,259",
Ceres,Stanislaus,CA,"23,715,709",
Cerritos,Los Angeles,CA,"726,943,301",
China Lake,Kern ,CA,"5,974,402",
Chino,San Bernardino,CA,"89,779,198",
Corcoran,Kings ,CA,"6,609,432",
Corona,Riverside ,CA,"82,105,026",
Daly,San Mateo ,CA,"121,697,163",
Edwards,Kern ,CA,"5,974,402",
El Dorado Hills,El Dorado,CA,"7,967,457",
El Monte,Los Angeles,CA,"726,943,301",
El Segundo,Los Angeles,CA,"726,943,301",
Encina,Los Angeles,CA,"726,943,301",
Encinitas,San Diego ,CA,"222,272,562",
Encinitas,San Diego ,CA,"222,272,562",
Encinitas,San Diego ,CA,"222,272,562",
Escondido,San Diego ,CA,"222,272,562",
Escondido,San Diego ,CA,"222,272,562",
Fairfield,Solano ,CA,"22,637,944",
Fallbrook,San Diego ,CA,"222,272,562",
Ferndale,Humboldt ,CA,"5,974,402",
Fillmore,Ventura ,CA,"48,496,595",
Fort Irwin,San Bernardino,CA,"89,779,198",
Fountain Valley,Orange ,CA,"233,323,465",
Fresno,Fresno ,CA,"46,009,312",
Fresno,Fresno ,CA,"423,009,312",
Gilroy,Santa Clara,CA,"318,100,028",
Glendale,Los Angeles,CA,"726,943,301",
Goleta,Santa Barbara,CA,"28,411,698",
Groveland,Tuolumne,CA,"2,793,179",
Helendale,San Bernardino,CA,"89,779,198",
Holiister,San Benito,CA,"2,363,094",
Hollister,San Benito,CA,"2,363,094",
Hollister,San Benito,CA,"2,363,094",
Irvine,Orange ,CA,"233,323,465",
La CaÐada,Los Angeles,CA,"726,943,301",
Laguna Niguel,Orange ,CA,"233,323,465",
Laguna Niguel,Orange ,CA,"233,323,465",
Lake Elsinore,Riverside ,CA,"82,105,026",
Lake Forest,Orange ,CA,"233,323,465",
Lakeport,Lake ,CA,"2,189,985",
Lancaster,Los Angeles,CA,"726,943,301",
Livermore,Alameda,CA,"129,708,807",
Lodi,San Joaquin,CA,"30,486,439",
Long Beach,Los Angeles,CA,"726,943,301",
Malibu,Los Angeles,CA,"726,943,301",
Malibu,Los Angeles,CA,"726,943,301",
Malibu,Los Angeles,CA,"726,943,301",
Malibu,Los Angeles,CA,"726,943,301",
Mammoth Lakes,Mono,CA,"1,162,497",
Martinez,Contra Coasta,CA,"76,522,619",
Middletown,Lake,CA,"2,189,985",
Mill Valley,Marin,CA,"23,795,829",
Moorpark,Ventura ,CA,"48,496,595",
Murrieta,Riverside ,CA,"82,105,026",
Napa,Napa,CA,"10,283,597",
Oakhurst,Madera,CA,"6,740,169",
Palm Desert,Riverside ,CA,"82,105,026",
Palm Springs,Riverside ,CA,"82,105,026",
Palo Alto,Santa Clara,CA,"318,100,028",
Palo Alto,Santa Clara,CA,"318,100,028",
Petaluma,Sonoma,CA,"29,064,200",
Pleasanton,Alameda,CA,"129,708,807",
Pomona,Los Angeles,CA,"726,943,301",
Rancho Murieta,Sacramento,CA,"88,620,397",
Red Bluff,Tehama,CA,"2,276,824",
Redwood,San Mateo ,CA,"121,697,163",
Roseville,Placer,CA,"21,531,825",
Salinas,Monterey,CA,"27,581,259",
San Andreas,Calaveras,CA,"1,589,059",
San Clemente,Orange ,CA,"233,323,465",
San Diego,San Diego ,CA,"222,272,562",
San Jose,Santa Clara,CA,"318,100,028",
San Leandro,Alameda,CA,"129,708,807",
San Luis Obispo,San Luis Obispo,CA,"16,660,813",
San Luis Obispo,San Luis Obispo,CA,"16,660,813",
San Marcos,San Diego ,CA,"222,272,562",
San Rafael,Marin,CA,"23,795,829",
Santa Barbara,Santa Barbara,CA,"28,411,698",
